Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Idaho,2023,7,1508,1349,0.0,324.0,21.0,60.0,0.0,68.0,0.0,0.0,12.0,293.0,73.0,0.0,0.0
Idaho,2023,8,1251,1126,0.0,271.0,21.0,58.0,0.0,65.0,0.0,0.0,59.0,224.0,56.0,0.0,0.0
Idaho,2023,9,734,706,0.0,151.0,0.0,39.0,0.0,54.0,0.0,0.0,42.0,152.0,28.0,0.0,0.0
Illinois,2023,1,9232,8451,156.0,1699.0,266.0,372.0,212.0,431.0,127.0,220.0,120.0,2019.0,559.0,405.0,268.0
Illinois,2023,2,8772,8028,166.0,1829.0,210.0,315.0,151.0,377.0,119.0,211.0,107.0,1952.0,535.0,236.0,162.0
Illinois,2023,3,8520,7780,150.0,1717.0,237.0,267.0,142.0,366.0,123.0,203.0,120.0,1965.0,528.0,250.0,178.0
Illinois,2023,4,10573,9615,174.0,2227.0,229.0,371.0,162.0,499.0,148.0,270.0,167.0,2365.0,616.0,240.0,150.0
Illinois,2023,5,8229,7502,126.0,1735.0,220.0,243.0,121.0,344.0,147.0,224.0,148.0,1874.0,497.0,88.0,59.0
Illinois,2023,6,8069,7349,134.0,1751.0,212.0,261.0,104.0,357.0,101.0,210.0,206.0,1763.0,457.0,45.0,25.0
Illinois,2023,7,9798,9119,157.0,2119.0,264.0,346.0,131.0,374.0,139.0,215.0,472.0,2202.0,569.0,69.0,20.0
Illinois,2023,8,7042,6674,108.0,1577.0,160.0,250.0,103.0,304.0,111.0,167.0,541.0,1502.0,430.0,52.0,33.0
Illinois,2023,9,5531,5434,87.0,1221.0,124.0,177.0,78.0,232.0,56.0,125.0,574.0,1215.0,337.0,75.0,48.0
Indiana,2023,1,5805,5310,73.0,1071.0,179.0,181.0,108.0,380.0,93.0,110.0,0.0,1243.0,299.0,258.0,177.0
Indiana,2023,2,5524,5019,65.0,1023.0,169.0,175.0,65.0,344.0,101.0,115.0,11.0,1216.0,266.0,169.0,92.0
Indiana,2023,3,5496,5053,77.0,1055.0,194.0,176.0,70.0,354.0,103.0,112.0,10.0,1198.0,265.0,162.0,104.0
Indiana,2023,4,6709,6098,99.0,1289.0,226.0,216.0,62.0,471.0,130.0,143.0,10.0,1491.0,341.0,134.0,89.0
Indiana,2023,5,5248,4767,71.0,1052.0,177.0,148.0,73.0,354.0,95.0,114.0,11.0,1176.0,266.0,61.0,13.0
Indiana,2023,6,5192,4731,74.0,1082.0,163.0,129.0,66.0,320.0,83.0,117.0,0.0,1169.0,242.0,62.0,22.0
Indiana,2023,7,6127,5593,71.0,1362.0,189.0,221.0,51.0,368.0,114.0,135.0,36.0,1303.0,303.0,43.0,0.0
Indiana,2023,8,4766,4482,54.0,1095.0,201.0,157.0,61.0,305.0,87.0,107.0,59.0,997.0,250.0,52.0,27.0
Indiana,2023,9,2740,2712,24.0,630.0,96.0,121.0,24.0,205.0,63.0,65.0,30.0,606.0,139.0,73.0,54.0
Iowa,2023,1,2764,2576,0.0,530.0,80.0,102.0,67.0,136.0,50.0,31.0,15.0,654.0,126.0,106.0,59.0
Iowa,2023,2,2600,2413,0.0,494.0,82.0,130.0,33.0,129.0,24.0,18.0,11.0,662.0,110.0,90.0,52.0
Iowa,2023,3,2513,2314,11.0,495.0,64.0,112.0,24.0,130.0,23.0,15.0,22.0,586.0,97.0,91.0,54.0
Iowa,2023,4,3120,2886,24.0,610.0,78.0,156.0,22.0,181.0,20.0,36.0,0.0,757.0,139.0,86.0,39.0
Iowa,2023,5,2386,2204,21.0,490.0,64.0,87.0,0.0,122.0,48.0,42.0,11.0,567.0,86.0,14.0,0.0
Iowa,2023,6,2341,2143,0.0,481.0,73.0,87.0,0.0,130.0,25.0,33.0,10.0,561.0,99.0,0.0,0.0
Iowa,2023,7,2813,2598,11.0,598.0,89.0,106.0,0.0,144.0,23.0,24.0,23.0,658.0,121.0,0.0,0.0
Iowa,2023,8,2183,2034,0.0,472.0,70.0,111.0,0.0,115.0,10.0,0.0,0.0,516.0,104.0,0.0,0.0
Iowa,2023,9,1366,1334,0.0,284.0,56.0,72.0,0.0,67.0,0.0,0.0,0.0,350.0,62.0,0.0,0.0
Kansas,2023,1,2453,2227,23.0,428.0,80.0,77.0,62.0,149.0,26.0,21.0,0.0,516.0,99.0,123.0,89.0
Kansas,2023,2,2310,2135,0.0,420.0,83.0,78.0,0.0,130.0,10.0,26.0,0.0,504.0,100.0,63.0,13.0
Kansas,2023,3,2323,2126,0.0,443.0,65.0,67.0,14.0,135.0,12.0,13.0,0.0,478.0,103.0,91.0,69.0
Kansas,2023,4,2886,2640,0.0,498.0,98.0,88.0,11.0,181.0,37.0,30.0,31.0,631.0,133.0,29.0,10.0
Kansas,2023,5,2026,1840,0.0,409.0,60.0,49.0,10.0,101.0,13.0,35.0,22.0,464.0,101.0,14.0,0.0
Kansas,2023,6,2070,1884,0.0,391.0,74.0,58.0,11.0,104.0,10.0,43.0,43.0,452.0,76.0,0.0,0.0
Kansas,2023,7,2419,2219,0.0,509.0,77.0,55.0,0.0,104.0,12.0,35.0,104.0,492.0,102.0,0.0,0.0
Kansas,2023,8,2008,1894,10.0,404.0,62.0,48.0,0.0,101.0,24.0,25.0,137.0,380.0,102.0,0.0,0.0
Kansas,2023,9,1359,1325,10.0,274.0,30.0,43.0,0.0,73.0,0.0,0.0,123.0,267.0,53.0,0.0,0.0
Kentucky,2023,1,4546,4141,103.0,826.0,151.0,102.0,87.0,305.0,76.0,111.0,43.0,917.0,178.0,292.0,179.0
Kentucky,2023,2,4354,3955,91.0,900.0,141.0,123.0,45.0,292.0,74.0,84.0,53.0,895.0,172.0,242.0,136.0
Kentucky,2023,3,4189,3774,78.0,805.0,124.0,119.0,64.0,293.0,59.0,109.0,63.0,837.0,180.0,182.0,107.0
Kentucky,2023,4,5028,4498,86.0,1030.0,173.0,124.0,61.0,318.0,85.0,114.0,60.0,1046.0,219.0,153.0,81.0
Kentucky,2023,5,3823,3419,74.0,762.0,114.0,108.0,54.0,244.0,65.0,106.0,57.0,789.0,163.0,89.0,13.0
Kentucky,2023,6,3856,3466,81.0,839.0,92.0,111.0,49.0,239.0,72.0,106.0,21.0,827.0,178.0,73.0,12.0
Kentucky,2023,7,4660,4161,96.0,1035.0,141.0,118.0,39.0,282.0,97.0,115.0,64.0,945.0,175.0,36.0,0.0
Kentucky,2023,8,3425,3137,68.0,760.0,94.0,108.0,25.0,207.0,66.0,84.0,39.0,706.0,132.0,61.0,0.0
Kentucky,2023,9,1790,1763,51.0,439.0,55.0,66.0,11.0,117.0,18.0,27.0,0.0,378.0,90.0,54.0,26.0
Louisiana,2023,1,4116,3709,103.0,700.0,146.0,151.0,60.0,203.0,96.0,91.0,59.0,978.0,209.0,161.0,106.0
Louisiana,2023,2,4085,3635,74.0,745.0,117.0,154.0,42.0,181.0,91.0,80.0,66.0,1001.0,205.0,121.0,78.0
Louisiana,2023,3,3834,3381,77.0,712.0,132.0,143.0,26.0,168.0,83.0,83.0,37.0,947.0,177.0,93.0,62.0
Louisiana,2023,4,4581,4009,99.0,869.0,147.0,170.0,51.0,215.0,101.0,92.0,56.0,1089.0,228.0,60.0,12.0
Louisiana,2023,5,3654,3206,78.0,725.0,129.0,133.0,11.0,182.0,77.0,92.0,27.0,848.0,167.0,13.0,0.0
Louisiana,2023,6,3491,3072,54.0,668.0,126.0,148.0,18.0,155.0,73.0,81.0,14.0,845.0,166.0,0.0,0.0
Louisiana,2023,7,4192,3771,78.0,832.0,149.0,156.0,11.0,166.0,81.0,98.0,48.0,1072.0,250.0,12.0,0.0
Louisiana,2023,8,3020,2884,68.0,663.0,99.0,155.0,0.0,159.0,73.0,48.0,10.0,735.0,168.0,54.0,32.0
