Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Georgia,2023,4,82.46,74.78,1.8599999999999999,16.38,2.27,3.61,1.11,4.07,2.2399999999999998,2.15,1.24,17.69,4.37,1.34,0.75,55146135
Georgia,2023,5,63.45,57.86,1.29,12.540000000000001,1.71,2.78,0.85,3.19,1.76,1.56,1.07,13.68,3.43,0.76,0.38,44116908
Georgia,2023,6,61.54,56.3,1.23,12.72,1.57,2.66,0.75,3.18,1.5,1.47,1.3,13.17,3.05,0.64,0.11,44116908
Georgia,2023,7,75.21,69.31,1.53,16.009999999999998,1.97,3.5,0.9,3.53,1.48,1.72,1.67,16.57,3.85,0.74,0.33,55146135
Georgia,2023,8,59.790000000000006,56.19,1.2000000000000002,12.879999999999999,1.63,2.7,0.47,2.88,1.57,1.25,1.51,12.73,3.5,1.03,0.72,44116908
Georgia,2023,9,31.08,30.45,0.66,6.93,0.63,1.49,0.33,1.51,0.71,0.68,0.59,7.12,1.82,0.9299999999999999,0.65,33087681
Hawaii,2023,1,74.35,69.33,0.0,14.76,0.0,2.79,0.77,0.0,0.0,0.0,0.0,16.650000000000002,5.57,1.47,0.0,5740552
Hawaii,2023,2,69.82,64.11,0.0,14.77,0.7,1.68,0.0,0.7,0.0,0.0,0.0,14.83,5.22,0.0,0.0,5740552
Hawaii,2023,3,76.3,71.42,0.0,15.809999999999999,0.77,0.98,0.0,0.7,0.0,0.0,0.7,18.05,5.77,0.0,0.0,5740552
Hawaii,2023,4,83.49000000000001,77.49,0.0,17.06,0.0,2.79,0.84,0.0,0.0,0.77,0.77,17.48,6.06,0.0,0.0,7175690
